encuesta_id,fecha,zona_id,region,tipo_zona,puntuacion_general_1a5,nps_0a10,texto_libre,indice_calidad_global,incidencia_masiva,stress_calidad,flag_incongruente,sent_text_latente
E77700765,2023-01-01,Z30,Centro,suburbana,4,2,Últimamente la señal va y viene. se nota congestión. me marean con respuestas.,30.27,0,0.5676,1,-0.669
E77700603,2023-02-01,Z01,Centro,rural,2,0,En general la cobertura es mala. los datos van lentísimos. Gracias por la atención.,19.61,0,0.7199,0,-1.0
E77700213,2023-02-01,Z05,Este,urbana_premium,4,12,Desde hace meses podría ser mejor. tardaron muchísimo. Lo mejor es que depende del día.,42.94,0,0.3866,1,-0.109
E77700377,2023-02-01,Z05,Este,urbana_premium,4,6,En mi zona no tengo cobertura dentro de casa. hay mucha latencia. Gracias por la atención.,42.94,0,0.3866,1,-0.488
E77700605,2023-02-01,Z05,Este,urbana_premium,4,7,Desde hace meses no tengo cobertura dentro de casa. el 5G ni se nota. me atendieron bien pero no lo resolvieron. Gracias por la atención.,42.94,0,0.3866,1,-0.533
E77700056,2023-02-01,Z06,Sur,rural,1,3,"Este mes se corta en llamadas. la velocidad es muy baja. me marean con respuestas. Por favor, revisen la cobertura en mi zona.",22.45,0,0.6793,0,-0.883
E77700217,2023-02-01,Z11,Oeste,suburbana,4,2,"Últimamente se queda sin servicio. los datos van lentísimos. no entiendo los cargos. Si no mejora, me planteo cambiarme.",32.51,0,0.5356,1,-0.629
E77700381,2023-02-01,Z11,Oeste,suburbana,3,0,"Desde hace meses la señal va y viene. se nota congestión. Por favor, revisen la cobertura en mi zona.",32.51,0,0.5356,0,-0.389
E77700774,2023-02-01,Z15,Oeste,suburbana,3,1,Desde hace meses se corta en llamadas. hay mucha latencia. Espero que lo solucionen pronto.,32.57,0,0.5347,0,-1.0
E77700490,2023-02-01,Z16,Este,urbana_premium,2,3,"En mi experiencia se corta en llamadas. la velocidad es muy baja. Si no mejora, me planteo cambiarme.",42.99,0,0.3859,0,-0.484
E77700721,2023-02-01,Z16,Este,urbana_premium,2,4,En mi zona depende del día. el descuento no se aplicó. Gracias por la atención.,42.99,0,0.3859,0,-0.033
E77700253,2023-02-01,Z20,Oeste,suburbana,5,1,En mi zona se corta en llamadas. hay mucha latencia. me marean con respuestas.,30.95,0,0.5579,1,-0.758
E77700536,2023-02-01,Z21,Centro,rural,2,6,En general depende del día. la atención al cliente no ayuda. Por otro lado podría ser mejor.,19.7,0,0.7186,1,-0.055
E77700596,2023-02-01,Z27,Norte,suburbana,1,0,"Últimamente no tengo cobertura dentro de casa. se nota congestión. Si no mejora, me planteo cambiarme.",31.12,0,0.5554,0,-0.915
E77700841,2023-02-01,Z28,Sur,urbana_premium,3,3,"En las últimas semanas la cobertura es mala. el 5G ni se nota. tardaron muchísimo. Por favor, revisen la cobertura en mi zona.",37.57,0,0.4633,0,-0.532
E77700988,2023-02-01,Z28,Sur,urbana_premium,5,3,"En mi experiencia no tengo cobertura dentro de casa. la velocidad es muy baja. no entiendo los cargos. Si no mejora, me planteo cambiarme.",37.57,0,0.4633,1,-0.975
E77700012,2023-02-01,Z29,Oeste,urbana_premium,4,0,Este mes se queda sin servicio. el 5G ni se nota. Por otro lado podría ser mejor.,41.22,0,0.4111,1,-1.0
E77700472,2023-02-01,Z29,Oeste,urbana_premium,3,4,En las últimas semanas se queda sin servicio. la velocidad es muy baja. No es lo que esperaba.,41.22,0,0.4111,0,-0.653
E77700320,2023-03-01,Z01,Centro,rural,3,3,"En mi zona se queda sin servicio. la velocidad es muy baja. Si no mejora, me planteo cambiarme.",16.99,0,0.7573,0,-0.893
E77700489,2023-03-01,Z02,Oeste,suburbana,2,0,En mi zona se queda sin servicio. los datos van lentísimos. No es lo que esperaba.,32.33,0,0.5381,0,-0.87
E77701000,2023-03-01,Z06,Sur,rural,2,0,"En mi experiencia se queda sin servicio. el 5G ni se nota. Si no mejora, me planteo cambiarme.",17.81,0,0.7456,0,-0.911
E77700057,2023-03-01,Z09,Norte,urbana_premium,4,0,En mi zona se corta en llamadas. la velocidad es muy baja. me atendieron bien pero no lo resolvieron. Gracias por la atención.,42.66,0,0.3906,0,-0.917
E77700517,2023-03-01,Z09,Norte,urbana_premium,4,3,Este mes hay cortes constantes. el 5G ni se nota. No es lo que esperaba.,42.66,0,0.3906,1,-0.788
E77700016,2023-03-01,Z12,Norte,rural,3,2,"Últimamente hay cortes constantes. hay mucha latencia. Si no mejora, me planteo cambiarme.",19.43,0,0.7224,0,-0.832
E77700925,2023-03-01,Z13,Este,suburbana,5,1,En mi experiencia la señal va y viene. la velocidad es muy baja. me atendieron bien pero no lo resolvieron. No es lo que esperaba.,32.15,0,0.5407,1,-1.0
E77700443,2023-03-01,Z15,Oeste,suburbana,3,1,En mi experiencia se queda sin servicio. no carga nada. Además no es perfecto pero cumple.,31.91,0,0.5441,0,-0.399
E77700496,2023-03-01,Z15,Oeste,suburbana,3,0,"En mi experiencia no tengo cobertura dentro de casa. no carga nada. Si no mejora, me planteo cambiarme.",31.91,0,0.5441,0,-0.731
E77700848,2023-03-01,Z15,Oeste,suburbana,5,2,En mi zona se corta en llamadas. hay mucha latencia. me marean con respuestas. No es lo que esperaba.,31.91,0,0.5441,1,-0.931
E77700124,2023-03-01,Z16,Este,urbana_premium,3,5,Desde hace meses se nota congestión. me marean con respuestas. La verdad depende del día.,41.77,0,0.4033,0,0.129
E77700569,2023-03-01,Z16,Este,urbana_premium,8,5,En general no es perfecto pero cumple. no es perfecto pero cumple.,41.77,0,0.4033,1,-0.347
E77700601,2023-03-01,Z16,Este,urbana_premium,5,4,"En mi zona se queda sin servicio. hay mucha latencia. Si no mejora, me planteo cambiarme.",41.77,0,0.4033,1,-0.919
E77700106,2023-03-01,Z17,Sur,suburbana,5,3,En mi zona hay cortes constantes. los datos van lentísimos. En resumen tiene altibajos.,34.47,0,0.5076,1,-0.365
E77700545,2023-03-01,Z17,Sur,suburbana,2,2,Este mes no tengo cobertura dentro de casa. el 5G ni se nota. me marean con respuestas. Espero que lo solucionen pronto.,34.47,0,0.5076,0,-0.385
E77700762,2023-03-01,Z17,Sur,suburbana,5,7,"Este mes se queda sin servicio. el 5G ni se nota. Si no mejora, me planteo cambiarme.",34.47,0,0.5076,1,-0.654
E77700423,2023-03-01,Z18,Sur,urbana_premium,3,1,Este mes la cobertura es mala. se nota congestión. no me dieron solución. Gracias por la atención.,42.77,0,0.389,0,-0.657
E77700686,2023-03-01,Z21,Centro,rural,2,1,En general se corta en llamadas. el 5G ni se nota. me cobraron de más. No es lo que esperaba.,19.54,0,0.7209,0,-0.982
E77700356,2023-03-01,Z22,Este,suburbana,3,2,En las últimas semanas hay cortes constantes. me atendieron bien pero no lo resolvieron.,32.46,0,0.5363,0,-0.241
E77700527,2023-03-01,Z22,Este,suburbana,3,0,"En mi experiencia se queda sin servicio. el 5G ni se nota. me cobraron de más. Por favor, revisen la cobertura en mi zona.",32.46,0,0.5363,0,-0.818
E77700872,2023-03-01,Z26,Oeste,urbana_premium,1,4,Desde hace meses hay cortes constantes. no carga nada. Gracias por la atención.,39.89,0,0.4301,0,-0.408
E77700667,2023-03-01,Z27,Norte,suburbana,2,3,"En mi experiencia la señal va y viene. no carga nada. Si no mejora, me planteo cambiarme.",33.76,0,0.5177,0,-0.496
E77700952,2023-03-01,Z27,Norte,suburbana,2,2,"En mi zona no tengo cobertura dentro de casa. la velocidad es muy baja. la atención al cliente no ayuda. Por favor, revisen la cobertura en mi zona.",33.76,0,0.5177,0,-0.73
E77700200,2023-03-01,Z28,Sur,urbana_premium,4,0,Desde hace meses se queda sin servicio. se nota congestión. No es lo que esperaba.,42.16,0,0.3977,1,-0.603
E77700154,2023-03-01,Z30,Centro,suburbana,5,2,"En las últimas semanas la cobertura es mala. no carga nada. Por favor, revisen la cobertura en mi zona.",28.6,0,0.5914,1,-0.792
E77700966,2023-03-01,Z30,Centro,suburbana,3,0,En mi experiencia la señal va y viene. se nota congestión. me atendieron bien pero no lo resolvieron.,28.6,0,0.5914,0,-0.732
E77700248,2023-04-01,Z01,Centro,rural,2,4,"En las últimas semanas el 5G ni se nota. depende del día. Por favor, revisen la cobertura en mi zona.",20.81,0,0.7027,0,-0.344
E77700312,2023-04-01,Z02,Oeste,suburbana,3,2,En mi zona tiene altibajos. no entiendo los cargos. Espero que lo solucionen pronto.,34.25,0,0.5107,0,-0.249
E77700236,2023-04-01,Z05,Este,urbana_premium,3,6,Últimamente se corta en llamadas. podría ser mejor. Además no es perfecto pero cumple.,42.81,0,0.3884,0,-0.123
E77700910,2023-04-01,Z05,Este,urbana_premium,4,3,En mi zona la señal va y viene. el 5G ni se nota. tardaron muchísimo. Espero que lo solucionen pronto.,42.81,0,0.3884,1,-0.499
E77700278,2023-04-01,Z07,Centro,rural,3,0,En mi zona no tengo cobertura dentro de casa. la velocidad es muy baja. Espero que lo solucionen pronto.,20.84,0,0.7023,0,-1.0
E77700203,2023-04-01,Z08,Sur,rural,2,1,Últimamente hay cortes constantes. los datos van lentísimos. la factura sube sin explicación. Gracias por la atención.,18.92,0,0.7297,0,-1.0
E77700516,2023-04-01,Z09,Norte,urbana_premium,2,2,"En las últimas semanas funciona bastante bien. Además normal, sin más. Lo mejor es que tiene altibajos.",41.99,0,0.4001,1,0.153
E77700673,2023-04-01,Z09,Norte,urbana_premium,2,0,Últimamente se corta en llamadas. no carga nada. me marean con respuestas. Gracias por la atención.,41.99,0,0.4001,0,-1.0
E77700307,2023-04-01,Z11,Oeste,suburbana,3,2,En mi zona la señal va y viene. no carga nada. Gracias por la atención.,32.21,0,0.5399,0,-1.0
E77700319,2023-04-01,Z15,Oeste,suburbana,3,3,"En mi experiencia la señal va y viene. la velocidad es muy baja. me marean con respuestas. Por favor, revisen la cobertura en mi zona.",31.85,0,0.545,0,-0.815
E77700334,2023-04-01,Z15,Oeste,suburbana,6,0,"Desde hace meses hay cortes constantes. no carga nada. Si no mejora, me planteo cambiarme.",31.85,0,0.545,0,-0.835
E77700554,2023-04-01,Z15,Oeste,suburbana,4,6,Este mes no carga nada. me marean con respuestas. Lo peor es que tiene altibajos.,31.85,0,0.545,0,-0.347
E77700676,01/04/2023,Z15,Oeste,suburbana,3,3,En general se queda sin servicio. la velocidad es muy baja. Gracias por la atención.,31.85,0,0.545,0,-0.542
E77700230,2023-04-01,Z17,Sur,suburbana,4,2,,33.91,0,0.5156,1,-0.741
E77700029,2023-04-01,Z18,Sur,urbana_premium,5,0,Desde hace meses la señal va y viene. no carga nada. Además podría ser mejor.,39.15,0,0.4407,1,-0.543
E77700571,2023-04-01,Z20,Oeste,suburbana,3,5,"En mi experiencia se queda sin servicio. los datos van lentísimos. la factura sube sin explicación. Si no mejora, me planteo cambiarme.",32.35,0,0.5379,0,-0.362
E77700317,2023-04-01,Z23,Norte,rural,2,0,En general no tengo cobertura dentro de casa. el 5G ni se nota. la atención al cliente no ayuda. No es lo que esperaba.,20.48,0,0.7074,0,-0.747
E77700074,2023-04-01,Z25,Oeste,rural,3,2,Desde hace meses no tengo cobertura dentro de casa. hay mucha latencia. me parece caro para lo que ofrecen. Gracias por la atención.,18.23,0,0.7396,0,-0.432
E77700140,2023-04-01,Z26,Oeste,urbana_premium,3,5,Este mes se corta en llamadas. hay mucha latencia. Lo mejor es que no es perfecto pero cumple.,38.6,0,0.4486,0,-0.533
E77700224,2023-04-01,Z27,Norte,suburbana,2,1,"En general no tengo cobertura dentro de casa. hay mucha latencia. tardaron muchísimo. Si no mejora, me planteo cambiarme.",34.02,0,0.514,0,-0.713
E77700633,2023-04-01,Z27,Norte,suburbana,3,3,En mi zona no tengo cobertura dentro de casa. no me dieron solución.,34.02,0,0.514,0,-0.23
E77700729,2023-04-01,Z27,Norte,suburbana,3,3,En general la cobertura es mala. los datos van lentísimos. Espero que lo solucionen pronto.,34.02,0,0.514,0,-0.515
E77700032,2023-04-01,Z28,Sur,urbana_premium,1,3,Últimamente se corta en llamadas. no carga nada. Espero que lo solucionen pronto.,40.87,0,0.4161,0,-0.733
E77700091,2023-04-01,Z28,Sur,urbana_premium,3,0,"En mi zona la cobertura es mala. no carga nada. Por favor, revisen la cobertura en mi zona.",40.87,0,0.4161,0,-0.539
E77700004,2023-05-01,Z02,Oeste,suburbana,3,1,En las últimas semanas la señal va y viene. hay mucha latencia. me marean con respuestas.,31.12,0,0.5554,0,-0.469
E77700725,2023-05-01,Z02,Oeste,suburbana,3,4,En las últimas semanas se queda sin servicio. los datos van lentísimos. me cobraron de más.,31.12,0,0.5554,0,-0.81
E77700469,2023-05-01,Z04,Centro,suburbana,3,0,Desde hace meses se corta en llamadas. la velocidad es muy baja. me cobraron de más. No es lo que esperaba.,35.33,0,0.4953,0,-0.997
E77700440,2023-05-01,Z05,Este,urbana_premium,2,4,Últimamente hay cortes constantes. la velocidad es muy baja. Gracias por la atención.,44.21,0,0.3684,0,-0.556
E77700651,2023-05-01,Z05,Este,urbana_premium,4,2,"En mi zona la cobertura es mala. se nota congestión. no entiendo los cargos. Si no mejora, me planteo cambiarme.",44.21,0,0.3684,1,-0.813
E77700172,2023-05-01,Z08,Sur,rural,2,0,En las últimas semanas se queda sin servicio. me cobraron de más.,18.77,0,0.7319,1,-0.058
E77700221,2023-05-01,Z08,Sur,rural,1,0,Desde hace meses no tengo cobertura dentro de casa. hay mucha latencia. Gracias por la atención.,18.77,0,0.7319,0,-0.758
E77700261,2023-05-01,Z09,Norte,urbana_premium,4,6,Este mes la cobertura es mala. la velocidad es muy baja. No es lo que esperaba.,39.37,0,0.4376,1,-0.416
E77700393,2023-05-01,Z10,Este,suburbana,3,3,"En mi experiencia se corta en llamadas. los datos van lentísimos. Si no mejora, me planteo cambiarme.",30.23,0,0.5681,0,-0.424
E77700609,2023-05-01,Z11,Oeste,suburbana,4,0,En mi experiencia se corta en llamadas. el 5G ni se nota. No es lo que esperaba.,34.81,0,0.5027,1,-0.871
E77700462,2023-05-01,Z13,Este,suburbana,2,0,"En mi zona no tengo cobertura dentro de casa. se nota congestión. la factura sube sin explicación. Si no mejora, me planteo cambiarme.",33.66,0,0.5191,0,-0.392
E77700747,2023-05-01,Z16,Este,urbana_premium,3,3,En mi zona los datos van lentísimos. podría ser mejor. Por otro lado depende del día.,42.28,0,0.396,0,-0.162
E77700904,2023-05-01,Z16,Este,urbana_premium,2,6,Desde hace meses se nota congestión. me parece caro para lo que ofrecen.,42.28,0,0.396,1,-0.059
E77700167,2023-05-01,Z17,Sur,suburbana,3,1,En general se corta en llamadas. hay mucha latencia. me atendieron bien pero no lo resolvieron. Gracias por la atención.,31.57,0,0.549,0,-0.745
E77700286,2023-05-01,Z20,Oeste,suburbana,4,0,En mi experiencia la señal va y viene. hay mucha latencia. no entiendo los cargos.,33.1,0,0.5271,1,-1.0
E77700310,2023-05-01,Z20,Oeste,suburbana,4,0,,33.1,0,0.5271,0,-0.726
E77700940,2023-05-01,Z20,Oeste,suburbana,1,0,Este mes se nota congestión. podría ser mejor. Por otro lado tiene altibajos.,33.1,0,0.5271,1,0.093
E77700803,01/05/2023,Z22,Este,suburbana,4,5,En las últimas semanas la cobertura es mala. hay mucha latencia. Sinceramente no es perfecto pero cumple.,34.84,0,0.5023,1,-0.475
E77700961,2023-05-01,Z23,Norte,rural,3,2,Desde hace meses la cobertura es mala. los datos van lentísimos. No es lo que esperaba.,16.66,0,0.762,0,-1.0
E77700386,2023-05-01,Z26,Oeste,urbana_premium,3,0,Últimamente se queda sin servicio. la velocidad es muy baja. tardaron muchísimo. No es lo que esperaba.,42.45,0,0.3936,0,-0.885
E77700896,2023-05-01,Z28,Sur,urbana_premium,3,3,"Últimamente no tengo cobertura dentro de casa. el 5G ni se nota. Por favor, revisen la cobertura en mi zona.",42.06,0,0.3991,0,-0.822
E77700028,2023-06-01,Z05,Este,urbana_premium,4,3,Desde hace meses se corta en llamadas. no carga nada. me atendieron bien pero no lo resolvieron.,43.08,0,0.3846,1,-0.984
E77700435,2023-06-01,Z05,Este,urbana_premium,4,4,Últimamente la señal va y viene. los datos van lentísimos. el descuento no se aplicó.,43.08,0,0.3846,0,-0.486
E77700801,2023-06-01,Z05,Este,urbana_premium,2,1,"En mi zona no tengo cobertura dentro de casa. no carga nada. Por favor, revisen la cobertura en mi zona.",43.08,0,0.3846,0,-0.545
E77700563,2023-06-01,Z07,Centro,rural,5,0,Desde hace meses no tengo cobertura dentro de casa. se nota congestión. tardaron muchísimo. No es lo que esperaba.,21.24,0,0.6966,1,-0.864
E77700929,2023-06-01,Z08,Sur,rural,2,0,Este mes se corta en llamadas. hay mucha latencia. tardaron muchísimo. Sinceramente podría ser mejor.,22.79,0,0.6744,0,-1.0
E77700250,2023-06-01,Z10,Este,suburbana,3,2,"Últimamente la señal va y viene. no carga nada. la atención al cliente no ayuda. Si no mejora, me planteo cambiarme.",31.4,0,0.5514,0,-1.0
E77700270,2023-06-01,Z10,Este,suburbana,2,1,"Desde hace meses normal, sin más. podría ser mejor. Espero que lo solucionen pronto.",31.4,0,0.5514,1,0.117
E77700814,2023-06-01,Z10,Este,suburbana,3,5,"En mi zona se corta en llamadas. hay mucha latencia. Por favor, revisen la cobertura en mi zona.",31.4,0,0.5514,0,-0.674
E77700634,2023-06-01,Z11,Oeste,suburbana,2,0,En general no tengo cobertura dentro de casa. me parece caro para lo que ofrecen.,33.14,0,0.5266,0,-0.134
E77700195,2023-06-01,Z14,Norte,rural,3,2,Desde hace meses la cobertura es mala. la velocidad es muy baja.,17.89,0,0.7444,0,-0.487
E77700152,2023-06-01,Z15,Oeste,suburbana,2,0,Últimamente se corta en llamadas. los datos van lentísimos. En resumen no es perfecto pero cumple.,30.69,0,0.5616,0,-0.929
E77700449,2023-06-01,Z16,Este,urbana_premium,4,1,"En las últimas semanas la cobertura es mala. se nota congestión. Si no mejora, me planteo cambiarme.",42.06,0,0.3991,1,-0.881
E77700027,2023-06-01,Z18,Sur,urbana_premium,2,0,"En las últimas semanas se queda sin servicio. me marean con respuestas. Si no mejora, me planteo cambiarme.",42.34,0,0.3951,0,-0.244
E77700908,2023-06-01,Z18,Sur,urbana_premium,2,5,En general se corta en llamadas. la factura sube sin explicación. Por otro lado depende del día.,42.34,0,0.3951,0,-0.161
E77700402,2023-06-01,Z19,Este,rural,3,2,Desde hace meses la cobertura es mala. hay mucha latencia. Gracias por la atención.,15.41,0,0.7799,0,-0.698
E77700674,2023-06-01,Z21,Centro,rural,4,0,En las últimas semanas no tengo cobertura dentro de casa. no carga nada. No es lo que esperaba.,19.15,0,0.7264,1,-0.829
E77700071,2023-06-01,Z26,Oeste,urbana_premium,4,9,En las últimas semanas funciona bastante bien. Lo peor es que no es perfecto pero cumple.,41.94,0,0.4009,0,0.216
E77700850,2023-06-01,Z26,Oeste,urbana_premium,3,5,"En mi zona la señal va y viene. podría ser mejor. Por favor, revisen la cobertura en mi zona.",41.94,0,0.4009,0,-0.112
E77700871,2023-06-01,Z26,Oeste,urbana_premium,5,3,"En mi zona hay mucha latencia. me marean con respuestas. Por favor, revisen la cobertura en mi zona.",41.94,0,0.4009,1,-0.236
E77700990,2023-06-01,Z26,Oeste,urbana_premium,3,1,"En general no tengo cobertura dentro de casa. los datos van lentísimos. Por favor, revisen la cobertura en mi zona.",41.94,0,0.4009,0,-0.707
E77700098,2023-06-01,Z28,Sur,urbana_premium,4,5,En las últimas semanas se corta en llamadas. el 5G ni se nota. No es lo que esperaba.,42.84,0,0.388,1,-1.0
E77700948,2023-06-01,Z28,Sur,urbana_premium,3,4,"En general se queda sin servicio. no carga nada. Si no mejora, me planteo cambiarme.",42.84,0,0.388,0,-0.385
E77700058,2023-06-01,Z29,Oeste,urbana_premium,3,5,Este mes la cobertura es mala. el 5G ni se nota. Espero que lo solucionen pronto.,42.41,0,0.3941,0,-0.506
E77700502,2023-06-01,Z29,Oeste,urbana_premium,4,0,Desde hace meses la cobertura es mala. los datos van lentísimos. no me dieron solución. Espero que lo solucionen pronto.,42.41,0,0.3941,0,-0.693
E77700113,2023-06-01,Z30,Centro,suburbana,4,10,"Este mes la señal va y viene. me marean con respuestas. Lo peor es que normal, sin más.",35.47,0,0.4933,0,-0.328
E77700073,2023-07-01,Z01,Centro,rural,2,3,"En las últimas semanas tiene altibajos. me marean con respuestas. Si no mejora, me planteo cambiarme.",19.06,0,0.7277,1,0.078
E77700351,2023-07-01,Z02,Oeste,suburbana,3,2,En general no tengo cobertura dentro de casa. se nota congestión. No es lo que esperaba.,29.74,0,0.5751,0,-0.868
E77700608,2023-07-01,Z04,Centro,suburbana,3,0,Desde hace meses se queda sin servicio. se nota congestión. la atención al cliente no ayuda. Espero que lo solucionen pronto.,36.26,0,0.482,0,-0.664
E77700395,2023-07-01,Z05,Este,urbana_premium,4,2,"Últimamente la señal va y viene. me parece caro para lo que ofrecen. Si no mejora, me planteo cambiarme.",44.31,0,0.367,0,-0.329
E77700157,2023-07-01,Z08,Sur,rural,1,2,En mi experiencia la cobertura es mala. el 5G ni se nota. Gracias por la atención.,19.58,0,0.7203,0,-0.533
E77700051,2023-07-01,Z09,Norte,urbana_premium,4,3,Desde hace meses se queda sin servicio. se nota congestión. No es lo que esperaba.,43.49,0,0.3787,1,-0.822
E77700102,2023-07-01,Z11,Oeste,suburbana,3,0,"En general la velocidad es muy baja. normal, sin más. Lo peor es que tiene altibajos.",32.66,0,0.5334,0,0.047
E77700708,2023-07-01,Z13,Este,suburbana,5,1,"Últimamente la señal va y viene. se nota congestión. me atendieron bien pero no lo resolvieron. Si no mejora, me planteo cambiarme.",32.31,0,0.5384,1,-1.0
E77700304,2023-07-01,Z15,Oeste,suburbana,4,3,En mi experiencia se queda sin servicio. hay mucha latencia. me marean con respuestas. Gracias por la atención.,34.06,0,0.5134,1,-1.0
E77700876,01/07/2023,Z15,Oeste,suburbana,2,0,Desde hace meses la señal va y viene. se nota congestión. no entiendo los cargos. No es lo que esperaba.,34.06,0,0.5134,0,-1.0
E77700957,2023-07-01,Z15,Oeste,suburbana,3,5,"En mi experiencia se queda sin servicio. la velocidad es muy baja. Por favor, revisen la cobertura en mi zona.",34.06,0,0.5134,0,-0.863
E77700202,2023-07-01,Z16,Este,urbana_premium,2,4,En mi zona hay cortes constantes. los datos van lentísimos. tardaron muchísimo.,43.28,0,0.3817,0,-0.537
E77700222,2023-07-01,Z16,Este,urbana_premium,3,2,"Este mes se queda sin servicio. los datos van lentísimos. me marean con respuestas. Por favor, revisen la cobertura en mi zona.",43.28,0,0.3817,0,-1.0
E77700241,2023-07-01,Z16,Este,urbana_premium,2,4,En general se queda sin servicio. el 5G ni se nota. Además no es perfecto pero cumple.,43.28,0,0.3817,0,-0.525
E77700945,2023-07-01,Z16,Este,urbana_premium,2,1,"Este mes se corta en llamadas. los datos van lentísimos. el descuento no se aplicó. Si no mejora, me planteo cambiarme.",43.28,0,0.3817,0,-0.786
E77700416,2023-07-01,Z17,Sur,suburbana,4,4,Este mes la velocidad es muy baja. me parece caro para lo que ofrecen.,33.8,0,0.5171,0,-0.259
E77700467,2023-07-01,Z17,Sur,suburbana,3,0,En mi zona la cobertura es mala. se nota congestión. No es lo que esperaba.,33.8,0,0.5171,0,-0.762
E77700833,2023-07-01,Z17,Sur,suburbana,4,4,Últimamente no tengo cobertura dentro de casa. hay mucha latencia. No es lo que esperaba.,33.8,0,0.5171,0,-0.527
E77700379,2023-07-01,Z19,Este,rural,2,0,En mi zona se queda sin servicio. se nota congestión. el descuento no se aplicó. Gracias por la atención.,18.71,0,0.7327,0,-1.0
E77700086,2023-07-01,Z20,Oeste,suburbana,3,1,"En general no tengo cobertura dentro de casa. los datos van lentísimos. Por favor, revisen la cobertura en mi zona.",34.56,0,0.5063,0,-0.396
